title,is_archived,order_index,content,image_url,id,created_date,updated_date,created_by_id,created_by,is_sample
"לא ניתן להתחבר כלל","false","-40","","","69affd309830739c8da613f1","2026-03-10T11:14:56.957000","2026-03-10T11:14:56.957000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"כהכנה להשבתה, לעת עתה, קושי בצפייה במסמכים","false","-39","","https://base44.app/api/apps/687d4f881dbc0bae0d03f20a/files/public/687d4f881dbc0bae0d03f20a/9190364a7_pasted-image-1772029206066.png","699f052398d9cd0663905059","2026-02-25T14:20:19.788000","2026-02-25T14:20:19.788000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"אזור אישי חדש לבעלי דין בפח המשפט","false","-38","","https://base44.app/api/apps/687d4f881dbc0bae0d03f20a/files/public/687d4f881dbc0bae0d03f20a/6030add7f_pasted-image-1771957400744.png","699deca19c841058fa762e69","2026-02-24T18:23:29.552000","2026-02-24T18:23:29.552000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"יום אחד הוא לא רק יושבת לטובת פעילות, הוא גם יפעל, אבל זה לא היום","false","-37","","https://base44.app/api/apps/687d4f881dbc0bae0d03f20a/files/public/687d4f881dbc0bae0d03f20a/4ba041682_pasted-image-1771847100839.png","699c3dd0468712fc54f013c4","2026-02-23T11:45:20.032000","2026-02-23T11:45:20.032000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"שגרה","false","-36","","https://base44.app/api/apps/687d4f881dbc0bae0d03f20a/files/public/687d4f881dbc0bae0d03f20a/98e796e0e_pasted-image-1771409894182.png","699591ec4e729bf7a1f7a56d","2026-02-18T10:18:20.101000","2026-02-18T10:18:20.101000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"""שדרוג""","false","-35","","https://base44.app/api/apps/687d4f881dbc0bae0d03f20a/files/public/687d4f881dbc0bae0d03f20a/16ae1e30c_pasted-image-1770633629990.png","6989b9b10aaa7477c7f16a7e","2026-02-09T10:40:49.675000","2026-02-09T10:40:49.675000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"הודעת לשכת עו""ד","false","-34","שלום לכולם,
 
הרשות השופטת נמצאת בעיצומו של פרויקט הגירת מערכת נט המשפט לענן.
כחלק מהפרויקט, מתוכננת השבתת מערכת נט המשפט לטובת שדרוג תשתיות.
ההשבתה מתוכננת לתאריכים 13.2.26 (יום שישי) בשעה 12:00 ועד לתאריך 15.2.26 (יום ראשון) בשעה 06:00.
 
במהלך ימי ההשבתה לא יפעל אתר נט המשפט, לא יתאפשר עיון בתיקים ולא תתאפשר הגשה מרחוק.
כמו כן, לא יפעלו הממשקים הקיימים.
 
להלן היערכות בתי המשפט להשבתה:
 
דיונים:
1.	החל מיום שישי בשעה 11:30 לא ניתן יהיה לקיים דיוני היוועדות חזותית.  
2.	פרוטוקולים ינוהלו בתבנית מחוץ לנט המשפט, ויעודכנו בתיקים בתום תקופת ההשבתה .
3.	בתום דיונים פרונטליים, יימסרו לבעלי הדין ולנציגי נחשון העתק מהפרוטוקול הידני - יש להקפיד לקחת את העותק הידני בתום הדיון.
 
פתיחת תיקים והגשת מסמכים:
1.	לא תתאפשר פתיחת תיקים והגשת מסמכים מרחוק - החל מיום שישי בשעה 11:30.
2.	הליכים דחופים או בקשות דחופות - ניתן להגיש למזכירויות בתי המשפט באופן פרונטלי. 
3.	מומלץ להקדים ולהגיש מסמכים עד ליום שישי 13.2.26 בשעה 11:00 - כדי שהמזכירות תספיק לטפל בקליטתם עד להשבתה. מה שיוגש לאחר שעה זו, יטופל בתום תקופת ההשבתה. 
 
יישום החלטות דחופות ותשלומים:
1.	יישום החלטות דחופות, לרבות קליטת תשלומים  - יבוצעו באופן ידני ויעודכנו בתיקים בתום תקופת ההשבתה.
2.	הודעות והחלטות דחופות יועברו לידיעת בעלי הדין ו/או באי הכוח, לפי העניין, באמצעות פקס או שיחה טלפונית.


נמשיך לעמוד לשירותכם בכל נושא,
עו״ד עמית בכר, ראש לשכת עורכי הדין","https://base44.app/api/apps/687d4f881dbc0bae0d03f20a/files/public/687d4f881dbc0bae0d03f20a/ab42ae819_pasted-image-1770557926551.png","698891f6e47d29f2530c5bed","2026-02-08T13:39:02.998000","2026-02-08T13:39:02.998000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"תקלות נרחבות בצפיה, הורדה, ושליחה של מסמכים באתר","false","-33","","https://base44.app/api/apps/687d4f881dbc0bae0d03f20a/files/public/687d4f881dbc0bae0d03f20a/93cafe415_pasted-image-1770557857919.png","698891a921ee49ab448656b9","2026-02-08T13:37:45.962000","2026-02-08T13:37:45.962000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"יום חדש, תקלות ישנות","false","-32","","https://base44.app/api/apps/687d4f881dbc0bae0d03f20a/files/public/687d4f881dbc0bae0d03f20a/48e74850a_pasted-image-1770023329351.png","698069a9232562289d8b2c76","2026-02-02T09:08:57.052000","2026-02-02T09:08:57.052000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"אין מסך שלא מציג הודעת שגיאה, בכל שלב בכל צורה","false","-31","","https://base44.app/api/apps/687d4f881dbc0bae0d03f20a/files/public/687d4f881dbc0bae0d03f20a/e1950964a_pasted-image-1769938870397.png","697f1fba37d4123d698e4102","2026-02-01T09:41:14.380000","2026-02-01T09:41:14.380000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
